Fragment_length	Missing_sites	GCGC-GCGC	Sum
864	0	344	344
865	0	348	348
866	0	361	361
867	0	346	346
868	0	338	338
869	0	333	333
870	0	357	357
871	0	353	353
872	0	311	311
873	0	357	357
874	0	340	340
875	0	355	355
876	0	385	385
877	0	319	319
878	0	366	366
879	0	327	327
880	0	339	339
881	0	328	328
882	0	342	342
883	0	340	340
884	0	332	332
885	0	345	345
886	0	340	340
887	0	355	355
888	0	345	345
889	0	359	359
890	0	327	327
891	0	325	325
892	0	357	357
893	0	341	341
894	0	336	336
895	0	310	310
896	0	371	371
897	0	357	357
898	0	369	369
899	0	349	349
900	0	324	324
901	0	344	344
902	0	330	330
903	0	345	345
904	0	370	370
905	0	328	328
906	0	360	360
907	0	373	373
908	0	412	412
909	0	358	358
910	0	439	439
911	0	938	938
912	0	365	365
913	0	356	356
914	0	339	339
915	0	360	360
916	0	346	346
917	0	348	348
918	0	343	343
919	0	329	329
920	0	340	340
921	0	338	338
922	0	344	344
923	0	355	355
924	0	341	341
925	0	340	340
926	0	362	362
927	0	364	364
928	0	332	332
929	0	365	365
930	0	367	367
931	0	316	316
932	0	308	308
933	0	285	285
934	0	338	338
935	0	312	312
936	0	310	310
937	0	319	319
938	0	328	328
939	0	344	344
940	0	331	331
941	0	353	353
942	0	312	312
943	0	365	365
944	0	331	331
945	0	345	345
946	0	337	337
947	0	311	311
948	0	304	304
949	0	315	315
950	0	291	291
951	0	303	303
952	0	359	359
953	0	333	333
954	0	311	311
955	0	323	323
956	0	347	347
957	0	329	329
958	0	328	328
959	0	348	348
960	0	314	314
961	0	292	292
962	0	314	314
963	0	306	306
964	0	300	300
965	0	316	316
966	0	339	339
967	0	333	333
968	0	315	315
969	0	318	318
970	0	299	299
971	0	335	335
972	0	345	345
973	0	319	319
974	0	327	327
975	0	321	321
976	0	325	325
977	0	304	304
978	0	312	312
979	0	341	341
980	0	302	302
981	0	326	326
982	0	337	337
983	0	323	323
984	0	296	296
985	0	306	306
986	0	311	311
987	0	353	353
988	0	320	320
989	0	307	307
990	0	308	308
991	0	314	314
992	0	322	322
993	0	307	307
994	0	331	331
995	0	264	264
996	0	329	329
997	0	302	302
998	0	290	290
999	0	294	294
1000	0	330	330
1001	0	304	304
1002	0	323	323
1003	0	315	315
1004	0	305	305
1005	0	306	306
1006	0	303	303
1007	0	309	309
1008	0	315	315
1009	0	303	303
1010	0	330	330
1011	0	293	293
1012	0	336	336
1013	0	306	306
1014	0	332	332
1015	0	297	297
1016	0	330	330
1017	0	311	311
1018	0	313	313
1019	0	289	289
1020	1	335	336
1021	0	288	288
1022	0	333	333
1023	0	335	335
1024	0	339	339
1025	0	318	318
1026	0	324	324
1027	0	321	321
1028	0	320	320
1029	0	342	342
1030	0	298	298
1031	0	332	332
1032	0	322	322
1033	0	283	283
1034	0	333	333
1035	0	337	337
1036	0	282	282
1037	0	323	323
1038	0	282	282
1039	0	298	298
1040	0	321	321
1041	0	310	310
1042	0	287	287
1043	0	289	289
1044	0	285	285
1045	0	286	286
1046	0	326	326
1047	0	303	303
1048	0	286	286
1049	0	276	276
1050	0	300	300
1051	0	297	297
1052	0	266	266
1053	0	300	300
1054	0	276	276
1055	0	289	289
1056	0	313	313
1057	0	290	290
1058	0	302	302
1059	0	282	282
1060	0	291	291
1061	0	293	293
1062	0	242	242
1063	0	295	295
1064	0	269	269
1065	0	310	310
1066	0	323	323
1067	0	310	310
1068	0	308	308
1069	0	300	300
1070	0	282	282
1071	0	316	316
1072	0	265	265
1073	0	273	273
1074	0	314	314
1075	0	299	299
1076	0	327	327
1077	0	260	260
1078	0	301	301
1079	0	283	283
1080	0	297	297
1081	0	313	313
1082	0	278	278
1083	0	281	281
1084	0	285	285
1085	0	296	296
1086	0	317	317
1087	0	321	321
1088	0	295	295
1089	0	261	261
1090	0	293	293
1091	0	297	297
1092	0	294	294
1093	0	297	297
1094	0	303	303
1095	0	271	271
1096	0	275	275
1097	0	298	298
1098	0	295	295
1099	0	258	258
1100	0	241	241
1101	0	267	267
1102	0	307	307
1103	0	259	259
1104	0	290	290
1105	0	284	284
1106	0	291	291
1107	0	299	299
1108	0	298	298
1109	0	278	278
1110	0	294	294
1111	0	321	321
1112	0	275	275
1113	0	268	268
1114	0	253	253
1115	0	295	295
1116	0	297	297
1117	0	257	257
1118	0	309	309
1119	0	295	295
1120	0	317	317
1121	0	307	307
1122	0	262	262
1123	0	294	294
1124	0	292	292
1125	0	246	246
1126	0	295	295
1127	0	304	304
1128	0	309	309
1129	0	255	255
1130	0	287	287
1131	0	291	291
1132	0	280	280
1133	0	314	314
1134	0	289	289
1135	0	280	280
1136	0	266	266
1137	0	276	276
1138	0	235	235
1139	0	295	295
1140	0	254	254
1141	0	282	282
