Fragment_length	Missing_sites	CCGG-CCGG	CCGG-GCGC	GCGC-GCGC	Sum
141	0	1733	2118	2052	5903
142	0	1652	2188	2325	6165
143	0	2492	2555	2586	7633
144	0	1566	2727	1729	6022
145	0	1493	2899	3604	7996
146	0	1372	2632	6279	10283
147	0	1464	3826	5089	10379
148	0	1438	4828	2742	9008
149	0	1436	4672	1493	7601
150	0	1441	3144	1159	5744
151	0	1395	3515	814	5724
152	0	1431	3998	802	6231
153	0	1472	3815	766	6053
154	0	1418	2551	655	4624
155	0	1345	2211	640	4196
156	0	1302	1965	651	3918
157	0	1326	1906	738	3970
158	0	1386	1729	589	3704
159	0	1314	1690	534	3538
160	0	1321	1771	560	3652
161	0	1264	1615	565	3444
162	0	1344	1635	516	3495
163	0	1340	1551	515	3406
164	0	1287	1738	545	3570
165	0	1339	1637	498	3474
166	0	1252	1569	516	3337
167	0	1294	1575	497	3366
168	0	1347	1616	527	3490
169	0	1324	1661	528	3513
170	0	1425	1632	574	3631
171	0	1501	1505	838	3844
172	0	1419	1491	513	3423
173	0	1291	1522	468	3281
174	0	1296	1500	475	3271
175	0	1451	1451	428	3330
176	0	1347	1514	461	3322
177	0	1260	1311	412	2983
