Fragment_length	Missing_sites	CCGG-CCGG	Sum
668	0	687	687
669	0	688	688
670	0	828	828
671	0	793	793
672	0	666	666
673	0	657	657
674	0	662	662
675	0	656	656
676	0	681	681
677	0	636	636
678	0	686	686
679	0	680	680
680	0	689	689
681	0	725	725
682	0	689	689
683	0	662	662
684	0	649	649
685	0	687	687
686	0	692	692
687	0	680	680
688	0	674	674
689	0	701	701
690	0	652	652
691	0	680	680
692	0	660	660
693	0	687	687
694	0	678	678
695	0	689	689
696	0	603	603
697	0	654	654
698	0	668	668
699	0	650	650
700	0	689	689
701	0	622	622
702	0	654	654
703	0	678	678
704	0	652	652
705	0	662	662
706	0	678	678
707	1	678	679
708	0	639	639
709	0	626	626
710	0	659	659
711	0	676	676
712	0	679	679
713	0	614	614
714	0	711	711
715	0	705	705
716	0	701	701
717	0	618	618
718	0	634	634
719	0	702	702
720	0	640	640
721	0	662	662
722	0	612	612
723	0	672	672
724	0	628	628
725	0	620	620
726	0	635	635
727	0	646	646
728	0	633	633
729	0	661	661
730	0	652	652
731	0	659	659
732	0	634	634
733	0	652	652
734	0	636	636
735	0	668	668
736	0	663	663
737	0	720	720
738	0	677	677
739	0	673	673
740	0	664	664
741	0	648	648
742	0	649	649
743	0	629	629
744	0	641	641
745	0	625	625
746	0	590	590
747	0	623	623
748	0	615	615
749	0	631	631
750	0	614	614
751	0	610	610
752	0	649	649
753	0	605	605
754	0	591	591
755	0	629	629
756	0	639	639
757	0	653	653
758	0	563	563
759	0	605	605
760	0	578	578
761	0	616	616
762	0	611	611
763	0	658	658
764	0	572	572
765	0	599	599
766	0	649	649
767	0	636	636
768	0	611	611
769	0	601	601
770	0	603	603
771	0	645	645
772	0	674	674
773	0	582	582
774	0	618	618
775	0	603	603
776	0	643	643
777	0	594	594
778	0	643	643
779	0	585	585
780	0	626	626
781	0	656	656
782	0	611	611
783	0	592	592
784	0	620	620
785	0	601	601
786	0	537	537
787	0	614	614
788	0	592	592
789	0	590	590
790	0	558	558
791	0	563	563
792	0	577	577
793	0	600	600
794	0	605	605
795	0	596	596
796	0	603	603
797	0	547	547
798	0	617	617
799	0	609	609
800	0	572	572
801	0	571	571
802	0	562	562
803	0	589	589
804	0	559	559
805	0	598	598
806	0	571	571
807	0	564	564
808	0	562	562
809	0	559	559
810	0	538	538
811	0	573	573
812	0	581	581
813	0	572	572
814	0	547	547
815	0	590	590
816	0	593	593
817	0	586	586
818	0	574	574
819	0	542	542
820	0	574	574
821	0	556	556
822	0	566	566
823	0	589	589
824	0	592	592
825	0	597	597
826	0	536	536
827	0	565	565
828	0	555	555
829	0	546	546
830	0	543	543
831	0	580	580
832	0	575	575
833	0	594	594
834	0	592	592
835	0	562	562
836	0	545	545
837	0	575	575
838	0	570	570
839	0	553	553
840	0	592	592
841	0	514	514
842	0	493	493
843	0	565	565
844	0	534	534
845	0	546	546
846	0	534	534
847	0	562	562
848	0	540	540
849	0	586	586
850	0	520	520
851	0	557	557
852	0	588	588
853	0	561	561
854	0	556	556
855	0	541	541
856	0	539	539
857	0	545	545
858	0	528	528
859	0	560	560
860	0	547	547
861	0	554	554
862	0	569	569
863	0	558	558
864	0	547	547
865	0	532	532
866	0	532	532
867	0	597	597
868	0	525	525
869	0	527	527
870	0	546	546
871	0	566	566
872	0	541	541
873	0	569	569
874	0	499	499
875	0	557	557
876	0	538	538
877	0	523	523
878	0	539	539
879	0	552	552
880	0	553	553
881	0	496	496
882	0	558	558
883	0	549	549
884	0	507	507
885	0	547	547
886	0	577	577
887	0	572	572
888	0	508	508
889	0	514	514
890	0	495	495
891	0	544	544
892	0	543	543
893	0	553	553
894	0	512	512
895	0	544	544
896	0	543	543
897	0	560	560
898	0	493	493
899	0	571	571
900	0	515	515
901	0	466	466
902	0	524	524
903	0	526	526
904	0	546	546
905	0	496	496
906	0	503	503
907	0	539	539
908	0	547	547
909	0	551	551
910	0	528	528
911	0	493	493
912	0	489	489
913	0	552	552
914	0	532	532
915	0	504	504
916	0	491	491
917	0	479	479
918	0	507	507
919	0	476	476
920	0	509	509
921	0	494	494
922	0	563	563
923	0	495	495
924	0	464	464
925	0	518	518
926	0	497	497
927	0	530	530
928	0	508	508
929	0	533	533
930	0	537	537
931	0	505	505
932	0	527	527
933	0	501	501
934	0	529	529
935	0	464	464
936	0	475	475
937	0	505	505
938	0	519	519
939	0	444	444
940	0	520	520
941	0	495	495
942	0	485	485
943	0	549	549
944	0	461	461
945	0	508	508
946	0	543	543
947	0	515	515
948	0	519	519
949	0	532	532
950	0	496	496
951	0	495	495
952	0	509	509
953	0	510	510
954	0	571	571
955	0	543	543
956	0	497	497
957	0	519	519
958	0	453	453
959	0	543	543
960	0	501	501
961	0	505	505
962	0	522	522
963	0	491	491
964	0	485	485
965	0	477	477
966	0	475	475
967	0	466	466
968	0	470	470
969	0	478	478
970	0	501	501
971	0	499	499
972	0	479	479
973	0	510	510
974	0	499	499
975	0	516	516
976	0	507	507
977	0	472	472
978	0	464	464
979	0	489	489
980	0	479	479
981	0	413	413
982	0	487	487
983	0	450	450
984	0	508	508
985	0	462	462
986	0	489	489
987	0	503	503
988	0	501	501
989	0	484	484
990	0	466	466
991	0	465	465
992	0	509	509
993	0	496	496
994	0	487	487
995	0	460	460
996	0	456	456
997	0	503	503
998	0	487	487
999	0	436	436
1000	0	472	472
1001	0	496	496
1002	0	457	457
1003	0	468	468
1004	0	454	454
1005	0	470	470
1006	0	473	473
1007	0	453	453
1008	0	483	483
1009	0	478	478
1010	0	448	448
1011	0	489	489
1012	0	464	464
1013	0	489	489
1014	0	466	466
1015	0	448	448
1016	0	481	481
1017	0	467	467
1018	0	467	467
1019	0	448	448
1020	0	471	471
1021	0	467	467
1022	0	471	471
1023	0	482	482
1024	0	465	465
1025	0	493	493
1026	0	487	487
1027	0	433	433
1028	0	494	494
1029	0	462	462
1030	0	430	430
1031	0	474	474
1032	0	502	502
1033	0	506	506
1034	0	472	472
1035	0	453	453
1036	0	457	457
1037	0	439	439
1038	0	472	472
1039	0	464	464
1040	0	438	438
1041	0	469	469
1042	0	445	445
1043	0	448	448
1044	0	473	473
1045	0	456	456
1046	0	435	435
1047	0	460	460
1048	0	401	401
1049	0	395	395
1050	0	443	443
1051	0	410	410
1052	0	438	438
1053	0	445	445
1054	0	470	470
1055	0	446	446
1056	0	436	436
1057	0	456	456
1058	0	417	417
1059	0	436	436
1060	0	440	440
1061	0	460	460
1062	0	447	447
1063	0	438	438
1064	0	455	455
1065	0	420	420
1066	0	438	438
1067	0	452	452
1068	0	470	470
1069	0	451	451
1070	0	445	445
1071	0	445	445
1072	0	420	420
1073	0	408	408
1074	0	413	413
1075	0	427	427
1076	0	449	449
1077	0	470	470
1078	0	440	440
1079	0	422	422
1080	0	410	410
1081	0	418	418
1082	0	436	436
1083	0	449	449
1084	0	393	393
1085	0	422	422
1086	0	466	466
1087	0	400	400
1088	0	412	412
1089	0	419	419
1090	0	414	414
1091	0	441	441
1092	0	441	441
1093	0	404	404
1094	0	416	416
1095	0	436	436
1096	0	430	430
1097	0	424	424
1098	0	408	408
1099	0	419	419
1100	0	419	419
1101	0	410	410
1102	0	418	418
1103	0	443	443
1104	0	423	423
1105	0	417	417
1106	0	418	418
1107	0	440	440
1108	0	456	456
1109	0	427	427
1110	0	413	413
1111	0	427	427
1112	0	429	429
1113	0	442	442
1114	0	425	425
1115	0	438	438
1116	0	445	445
1117	0	416	416
1118	0	429	429
1119	0	435	435
1120	0	436	436
1121	0	412	412
1122	0	410	410
1123	0	409	409
1124	0	434	434
1125	0	443	443
1126	0	432	432
1127	0	420	420
1128	0	448	448
1129	0	403	403
1130	0	409	409
1131	0	419	419
1132	0	440	440
1133	0	391	391
1134	0	407	407
1135	0	424	424
1136	0	386	386
1137	0	404	404
1138	0	397	397
1139	0	404	404
1140	0	443	443
1141	0	418	418
1142	0	407	407
1143	0	443	443
1144	0	413	413
1145	0	416	416
1146	0	415	415
1147	0	408	408
1148	0	418	418
1149	0	429	429
1150	0	366	366
1151	0	415	415
1152	0	380	380
1153	0	407	407
1154	0	378	378
1155	0	423	423
1156	0	401	401
1157	0	421	421
1158	0	413	413
1159	0	431	431
1160	0	412	412
1161	0	392	392
1162	0	409	409
1163	0	397	397
1164	0	371	371
1165	0	415	415
1166	0	403	403
1167	0	381	381
1168	0	395	395
1169	0	400	400
1170	0	407	407
1171	0	383	383
1172	0	375	375
1173	0	445	445
